hash,pvalue,oddsratio,count_in_samples,count_in_background,total_count,p_adj
1127768796928144,1.0,1.0,1,1,1,1.0
1128741618265230,1.0,1.0,1,1,1,1.0
1131602787309482,1.0,1.0,1,1,1,1.0
1129076539285867,1.0,1.0,1,1,1,1.0
1129282889343502,1.0,1.0,1,1,1,1.0
1131059424446084,1.0,1.0,1,1,1,1.0
1130835629644959,1.0,1.0,1,1,1,1.0
1130731164336609,1.0,1.0,1,1,1,1.0
1130701041129195,1.0,1.0,1,1,1,1.0
1130434947119106,1.0,1.0,1,1,1,1.0
1130380018099120,1.0,1.0,1,1,1,1.0
1130329924374241,1.0,1.0,1,1,1,1.0
1130248369801921,1.0,1.0,1,1,1,1.0
1130230840439513,1.0,1.0,1,1,1,1.0
1130184237429981,1.0,1.0,1,1,1,1.0
1130115182736432,1.0,1.0,1,1,1,1.0
1130059516157866,1.0,1.0,1,1,1,1.0
1129815080753110,1.0,1.0,1,1,1,1.0
1129800550140350,1.0,1.0,1,1,1,1.0
1129780332364625,1.0,1.0,1,1,1,1.0
1129586845576716,1.0,1.0,1,1,1,1.0
1129558118475134,1.0,1.0,1,1,1,1.0
1129243143499690,1.0,1.0,1,1,1,1.0
1120444528596164,1.0,1.0,1,1,1,1.0
1151462418405846,1.0,1.0,1,1,1,1.0
1151575017993156,1.0,1.0,1,1,1,1.0
1174300068520835,1.0,1.0,1,1,1,1.0
1174145041451190,1.0,1.0,1,1,1,1.0
1174020682281265,1.0,1.0,1,1,1,1.0
1174018420233528,1.0,1.0,1,1,1,1.0
1173906065370465,1.0,1.0,1,1,1,1.0
1173848464094072,1.0,1.0,1,1,1,1.0
1173664640413055,1.0,1.0,1,1,1,1.0
1174524774272689,1.0,1.0,1,1,1,1.0
1173566029886264,1.0,1.0,1,1,1,1.0
1173365689221424,1.0,1.0,1,1,1,1.0
1173343497641325,1.0,1.0,1,1,1,1.0
1173317500037600,1.0,1.0,1,1,1,1.0
1173289187855289,1.0,1.0,1,1,1,1.0
1173258866378683,1.0,1.0,1,1,1,1.0
1173019139711456,1.0,1.0,1,1,1,1.0
1172879521144289,1.0,1.0,1,1,1,1.0
1173476655346443,1.0,1.0,1,1,1,1.0
1174652435197252,1.0,1.0,1,1,1,1.0
1174725807904235,1.0,1.0,1,1,1,1.0
1175011714851816,1.0,1.0,1,1,1,1.0
1177194352662874,1.0,1.0,1,1,1,1.0
1176876397689475,1.0,1.0,1,1,1,1.0
1176791528299790,1.0,1.0,1,1,1,1.0
1176622646737014,1.0,1.0,1,1,1,1.0
1176574470893542,1.0,1.0,1,1,1,1.0
1176563575297037,1.0,1.0,1,1,1,1.0
1176375915306794,1.0,1.0,1,1,1,1.0
1176243990754076,1.0,1.0,1,1,1,1.0
1176034662368259,1.0,1.0,1,1,1,1.0
1175756918743236,1.0,1.0,1,1,1,1.0
1175690821886551,1.0,1.0,1,1,1,1.0
1175670082654158,1.0,1.0,1,1,1,1.0
1175526601659117,1.0,1.0,1,1,1,1.0
1175311367942468,1.0,1.0,1,1,1,1.0
1175301461707595,1.0,1.0,1,1,1,1.0
1175173390967213,1.0,1.0,1,1,1,1.0
1175127245465447,1.0,1.0,1,1,1,1.0
1172839654634070,1.0,1.0,1,1,1,1.0
1172742306382857,1.0,1.0,1,1,1,1.0
1172608879154955,1.0,1.0,1,1,1,1.0
1172045287008482,1.0,1.0,1,1,1,1.0
1169898314386982,1.0,1.0,1,1,1,1.0
1169843112559686,1.0,1.0,1,1,1,1.0
1169600656838374,1.0,1.0,1,1,1,1.0
1169566448564562,1.0,1.0,1,1,1,1.0
1169203040877220,1.0,1.0,1,1,1,1.0
1169086408937580,1.0,1.0,1,1,1,1.0
1169068017102255,1.0,1.0,1,1,1,1.0
1168914288161149,1.0,1.0,1,1,1,1.0
1168664342736629,1.0,1.0,1,1,1,1.0
1168589079517650,1.0,1.0,1,1,1,1.0
1168571361576606,1.0,1.0,1,1,1,1.0
1168314761251235,1.0,1.0,1,1,1,1.0
1168303692596664,1.0,1.0,1,1,1,1.0
1168097091105665,1.0,1.0,1,1,1,1.0
1168017558628517,1.0,1.0,1,1,1,1.0
1167963907092890,1.0,1.0,1,1,1,1.0
1167604466670781,1.0,1.0,1,1,1,1.0
1170011556631393,1.0,1.0,1,1,1,1.0
1177308763678368,1.0,1.0,1,1,1,1.0
1170014373342747,1.0,1.0,1,1,1,1.0
1170163455854837,1.0,1.0,1,1,1,1.0
1171991287103445,1.0,1.0,1,1,1,1.0
1171900466125692,1.0,1.0,1,1,1,1.0
1171855382246692,1.0,1.0,1,1,1,1.0
1171845514497845,1.0,1.0,1,1,1,1.0
1171803426320854,1.0,1.0,1,1,1,1.0
1171632366787900,1.0,1.0,1,1,1,1.0
1171404244843688,1.0,1.0,1,1,1,1.0
1171361992805523,1.0,1.0,1,1,1,1.0
1171323038448644,1.0,1.0,1,1,1,1.0
1171103909562312,1.0,1.0,1,1,1,1.0
1171098440420248,1.0,1.0,1,1,1,1.0
1170987877020677,1.0,1.0,1,1,1,1.0
1170882877693421,1.0,1.0,1,1,1,1.0
1170497167469089,1.0,1.0,1,1,1,1.0
1170458967134408,1.0,1.0,1,1,1,1.0
1170426395481109,1.0,1.0,1,1,1,1.0
1170165516519897,1.0,1.0,1,1,1,1.0
1170026492839649,1.0,1.0,1,1,1,1.0
1177330869884216,1.0,1.0,1,1,1,1.0
1177413070142085,1.0,1.0,1,1,1,1.0
1177465363541883,1.0,1.0,1,1,1,1.0
1182192961870054,1.0,1.0,1,1,1,1.0
1182095857814109,1.0,1.0,1,1,1,1.0
1182004889897843,1.0,1.0,1,1,1,1.0
1181923227195745,1.0,1.0,1,1,1,1.0
1181678488807452,1.0,1.0,1,1,1,1.0
1181622744601084,1.0,1.0,1,1,1,1.0
1181530625519065,1.0,1.0,1,1,1,1.0
1181495070515865,1.0,1.0,1,1,1,1.0
1181463165225475,1.0,1.0,1,1,1,1.0
1181259361109383,1.0,1.0,1,1,1,1.0
1181133081730223,1.0,1.0,1,1,1,1.0
1181124376092335,1.0,1.0,1,1,1,1.0
1181113451478113,1.0,1.0,1,1,1,1.0
1181103466239092,1.0,1.0,1,1,1,1.0
1181079989984277,1.0,1.0,1,1,1,1.0
1181069942042583,1.0,1.0,1,1,1,1.0
1181052936401859,1.0,1.0,1,1,1,1.0
1182536988440085,1.0,1.0,1,1,1,1.0
1180935628426838,1.0,1.0,1,1,1,1.0
1182546696192044,1.0,1.0,1,1,1,1.0
1182808829425428,1.0,1.0,1,1,1,1.0
1184080475221917,1.0,1.0,1,1,1,1.0
1184017187738195,1.0,1.0,1,1,1,1.0
1183990996156822,1.0,1.0,1,1,1,1.0
1183845861333319,1.0,1.0,1,1,1,1.0
1183767099201229,1.0,1.0,1,1,1,1.0
1183688084256667,1.0,1.0,1,1,1,1.0
1183682780684005,1.0,1.0,1,1,1,1.0
1183514556144877,1.0,1.0,1,1,1,1.0
1183511713181337,1.0,1.0,1,1,1,1.0
1183473603423010,1.0,1.0,1,1,1,1.0
1183235395470311,1.0,1.0,1,1,1,1.0
1183128223393705,1.0,1.0,1,1,1,1.0
1183073000372426,1.0,1.0,1,1,1,1.0
1183039448998945,1.0,1.0,1,1,1,1.0
1182996248695601,1.0,1.0,1,1,1,1.0
1182954356836379,1.0,1.0,1,1,1,1.0
1182834070307913,1.0,1.0,1,1,1,1.0
1182749119216750,1.0,1.0,1,1,1,1.0
1167561332907228,1.0,1.0,1,1,1,1.0
1180900397915509,1.0,1.0,1,1,1,1.0
1180824850244104,1.0,1.0,1,1,1,1.0
1178757892046081,1.0,1.0,1,1,1,1.0
1178544967103621,1.0,1.0,1,1,1,1.0
1178431599797740,1.0,1.0,1,1,1,1.0
1178407912862608,1.0,1.0,1,1,1,1.0
1178367452576881,1.0,1.0,1,1,1,1.0
1178295071114248,1.0,1.0,1,1,1,1.0
1178187633190954,1.0,1.0,1,1,1,1.0
1178155415268347,1.0,1.0,1,1,1,1.0
1178112355439365,1.0,1.0,1,1,1,1.0
1178057810724397,1.0,1.0,1,1,1,1.0
1178041817619857,1.0,1.0,1,1,1,1.0
1177873261776124,1.0,1.0,1,1,1,1.0
1177712424151473,1.0,1.0,1,1,1,1.0
1177647551344183,1.0,1.0,1,1,1,1.0
1177588860124682,1.0,1.0,1,1,1,1.0
1177575716433077,1.0,1.0,1,1,1,1.0
1177473631970287,1.0,1.0,1,1,1,1.0
1178839187233029,1.0,1.0,1,1,1,1.0
1180882241922748,1.0,1.0,1,1,1,1.0
1178876159406654,1.0,1.0,1,1,1,1.0
1179024179567035,1.0,1.0,1,1,1,1.0
1180766785164127,1.0,1.0,1,1,1,1.0
1180750690369831,1.0,1.0,1,1,1,1.0
1180554043172778,1.0,1.0,1,1,1,1.0
1180513662859957,1.0,1.0,1,1,1,1.0
1180420853754981,1.0,1.0,1,1,1,1.0
1180269653262458,1.0,1.0,1,1,1,1.0
1180221148208496,1.0,1.0,1,1,1,1.0
1180102882404572,1.0,1.0,1,1,1,1.0
1180084984655186,1.0,1.0,1,1,1,1.0
1179737453272313,1.0,1.0,1,1,1,1.0
1179698648098087,1.0,1.0,1,1,1,1.0
1179694179150845,1.0,1.0,1,1,1,1.0
1179689903934976,1.0,1.0,1,1,1,1.0
1179636952838034,1.0,1.0,1,1,1,1.0
1179352562111170,1.0,1.0,1,1,1,1.0
1179221161813035,1.0,1.0,1,1,1,1.0
1179211018750568,1.0,1.0,1,1,1,1.0
1178935226675325,1.0,1.0,1,1,1,1.0
1151488952229942,1.0,1.0,1,1,1,1.0
1167499688817013,1.0,1.0,1,1,1,1.0
1167404160914336,1.0,1.0,1,1,1,1.0
1157517512037760,1.0,1.0,1,1,1,1.0
1157357863401053,1.0,1.0,1,1,1,1.0
1157247081481418,1.0,1.0,1,1,1,1.0
1157105438288831,1.0,1.0,1,1,1,1.0
1156922800542414,1.0,1.0,1,1,1,1.0
1156610041929735,1.0,1.0,1,1,1,1.0
1156584011736542,1.0,1.0,1,1,1,1.0
1157519184039681,1.0,1.0,1,1,1,1.0
1156340706104585,1.0,1.0,1,1,1,1.0
1156054991316388,1.0,1.0,1,1,1,1.0
1155678160433398,1.0,1.0,1,1,1,1.0
1155629100921808,1.0,1.0,1,1,1,1.0
1155494655266113,1.0,1.0,1,1,1,1.0
1155113129278778,1.0,1.0,1,1,1,1.0
1155112394280519,1.0,1.0,1,1,1,1.0
1154918414788540,1.0,1.0,1,1,1,1.0
1156149768243084,1.0,1.0,1,1,1,1.0
1157552441001795,1.0,1.0,1,1,1,1.0
1157630193851552,1.0,1.0,1,1,1,1.0
1157840588137573,1.0,1.0,1,1,1,1.0
1159852207224486,1.0,1.0,1,1,1,1.0
1159697757791309,1.0,1.0,1,1,1,1.0
1159424269494024,1.0,1.0,1,1,1,1.0
1159232331738163,1.0,1.0,1,1,1,1.0
1159108160744280,1.0,1.0,1,1,1,1.0
1159071387662087,1.0,1.0,1,1,1,1.0
1158901578828949,1.0,1.0,1,1,1,1.0
1158875343024230,1.0,1.0,1,1,1,1.0
1158869471673008,1.0,1.0,1,1,1,1.0
1158618592542558,1.0,1.0,1,1,1,1.0
1158474909227937,1.0,1.0,1,1,1,1.0
1158407766561511,1.0,1.0,1,1,1,1.0
1158355778662537,1.0,1.0,1,1,1,1.0
1158310056685842,1.0,1.0,1,1,1,1.0
1158143343180752,1.0,1.0,1,1,1,1.0
1158023164412632,1.0,1.0,1,1,1,1.0
1157887372534464,1.0,1.0,1,1,1,1.0
1154821684884508,1.0,1.0,1,1,1,1.0
1154789780375432,1.0,1.0,1,1,1,1.0
1154709194893994,1.0,1.0,1,1,1,1.0
1154682574464865,1.0,1.0,1,1,1,1.0
1153083078232558,1.0,1.0,1,1,1,1.0
1153040163956739,1.0,1.0,1,1,1,1.0
1152937754662628,1.0,1.0,1,1,1,1.0
1152928930994972,1.0,1.0,1,1,1,1.0
1152779813913541,1.0,1.0,1,1,1,1.0
1152737547517450,1.0,1.0,1,1,1,1.0
1152717044016495,1.0,1.0,1,1,1,1.0
